,ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX Acidic pKa,CX Basic pKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Molecular Species,Molecular Formula,h_smiles,ch3_smiles
40,CHEMBL15849,BUTANONE,Butan-2-One|Butanone,Small molecule,0.0,72.11,5.0,17.0,0.99,17.07,1,0,0,1,Y,0.45,None,None,0.81,0.81,0,MOL,-1.0,5,1,0,0,72.0575,NEUTRAL,C4H8O,CCC(C)=O,CCCC(C)=O
41,CHEMBL3560782,,,Small molecule,0.0,85.11,,,0.55,33.02,2,0,0,2,Y,0.46,None,None,-0.10,-0.10,0,MOL,-1.0,6,2,0,0,85.0528,NEUTRAL,C4H7NO,COCCC#N,CCOCCC#N
42,CHEMBL1562258,,,Small molecule,0.0,80.09,5.0,5.0,0.81,47.58,2,0,0,1,Y,0.44,None,None,-0.28,-0.28,0,MOL,-1.0,6,2,0,0,80.0374,NEUTRAL,C4H4N2,N#CCCC#N,N#CC(C)CC#N
43,CHEMBL4475870,,,,0.0,90.15,1.0,2.0,-0.55,38.05,1,2,0,0,Y,0.39,None,None,-0.25,-0.25,0,MOL,-1.0,5,2,3,0,90.0252,NEUTRAL,C2H6N2S,CNC(N)=S,CCNC(N)=S
45,CHEMBL2269086,,,Small molecule,0.0,86.13,6.0,6.0,0.94,20.23,1,1,0,2,Y,0.50,None,None,1.15,1.15,0,MOL,-1.0,6,1,1,0,86.0732,NEUTRAL,C5H10O,C=CC(O)CC,CC=CC(O)CC
47,CHEMBL30909,,2-Methyl-Pentane|2-Methylpentane,Small molecule,0.0,86.18,3.0,6.0,2.44,0.00,0,0,0,2,Y,0.48,None,None,2.97,2.97,0,MOL,-1.0,6,0,0,0,86.1096,None,C6H14,CCCC(C)C,CCCCC(C)C
48,CHEMBL1606435,,,Small molecule,0.0,58.04,6.0,6.0,-0.62,34.14,2,0,0,1,Y,0.30,None,None,0.00,0.00,0,MOL,-1.0,4,2,0,0,58.0055,None,C2H2O2,O=CC=O,O=C(C)C=O
49,CHEMBL665,N-METHYL PYRROLIDINE (NMP),N-Methyl Pyrrolidine (Nmp),Small molecule,0.0,85.15,3.0,9.0,0.71,3.24,1,0,0,0,Y,0.42,None,10.08,0.60,-2.02,0,MOL,-1.0,6,1,0,0,85.0891,BASE,C5H11N,CN1CCCC1,CCN1CCCC1
51,CHEMBL3558338,,,Small molecule,0.0,71.12,,,0.39,12.03,1,1,0,2,Y,0.46,None,9.80,0.54,-1.81,0,MOL,-1.0,5,1,1,0,71.0735,BASE,C4H9N,C=CCNC,CC=CCNC
52,CHEMBL1697705,,,Small molecule,0.0,97.12,1.0,2.0,0.45,44.02,2,1,0,2,Y,0.51,None,None,0.05,0.05,0,MOL,-1.0,7,2,1,0,97.0528,NEUTRAL,C5H7NO,C=CC(O)CC#N,CC=CC(O)CC#N
54,CHEMBL1379,TETRAHYDROTHIOPHENE,Tetrahydrothiophene,Small molecule,0.0,88.18,2.0,5.0,1.51,0.00,1,0,0,0,Y,0.43,None,None,1.42,1.42,0,MOL,-1.0,5,0,0,0,88.0347,None,C4H8S,C1CCSC1,CC1CCSC1
55,CHEMBL3306347,,,Small molecule,0.0,92.55,,,0.53,3.01,0,0,0,0,Y,0.30,None,None,-3.02,-3.02,0,MOL,-1.0,5,1,0,0,92.0262,None,C3H7ClN+,C[N+](C)=CCl,CC[N+](C)=CCl
57,CHEMBL3183920,,,Small molecule,0.0,86.13,,,1.23,17.07,1,0,0,1,Y,0.47,None,None,1.35,1.35,0,MOL,-1.0,6,1,0,0,86.0732,NEUTRAL,C5H10O,CC(=O)C(C)C,CCC(=O)C(C)C
58,CHEMBL119108,,But-2-yne,Small molecule,0.0,54.09,1.0,1.0,1.03,0.00,0,0,0,0,Y,0.36,None,None,1.83,1.83,0,MOL,-1.0,4,0,0,0,54.047,None,C4H6,CC#CC,CCC#CC
59,CHEMBL3188256,,,Small molecule,0.0,90.19,,,1.72,0.00,1,1,0,2,Y,0.49,10.20,None,2.06,2.06,0,MOL,-1.0,5,0,0,0,90.0503,NEUTRAL,C4H10S,CCCCS,CCCCCS
60,CHEMBL3218995,,,Small molecule,0.0,73.89,1.0,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1.0,None,None,None,None,74.0539,None,C2H7BO2,CCB(O)O,CCCB(O)O
61,CHEMBL1193997,,,Small molecule,0.0,56.07,,,-0.53,49.81,2,1,0,0,Y,0.38,None,6.39,-1.09,-1.13,0,MOL,-1.0,4,2,2,0,56.0374,NEUTRAL,C2H4N2,N#CCN,N#CC(N)C
62,CHEMBL3188413,,,Small molecule,0.0,84.12,,,0.25,49.81,2,1,0,0,Y,0.46,None,6.89,-0.09,-0.21,0,MOL,-1.0,6,2,2,0,84.0687,NEUTRAL,C4H8N2,CC(C)(N)C#N,CCC(C)(N)C#N
63,CHEMBL3184786,,,Small molecule,0.0,89.14,,,0.72,23.47,2,1,0,2,Y,0.50,None,4.14,0.14,0.14,0,MOL,-1.0,6,2,1,0,89.0841,NEUTRAL,C4H11NO,CCN(O)CC,CCCN(O)CC
64,CHEMBL457863,,1-Allylguanidine,Small molecule,0.0,99.14,1.0,4.0,-0.34,61.90,1,3,0,2,N,0.25,None,12.53,-0.23,-2.64,0,MOL,-1.0,7,3,4,0,99.0796,BASE,C4H9N3,C=CCNC(=N)N,CC=CCNC(=N)N
65,CHEMBL3187281,,,Small molecule,0.0,74.08,,,-0.01,18.46,2,0,0,0,Y,0.40,None,None,0.02,0.02,0,MOL,-1.0,5,2,0,0,74.0368,NEUTRAL,C3H6O2,C1COCO1,CC1COCO1
67,CHEMBL426643,,,Small molecule,0.0,81.12,1.0,1.0,1.32,15.79,0,1,0,0,Y,0.48,None,None,1.57,1.57,1,MOL,-1.0,6,1,1,0,81.0578,NEUTRAL,C5H7N,Cc1cc[nH]c1,CCc1cc[nH]c1
68,CHEMBL3183780,,,Small molecule,0.0,90.08,,,-0.78,64.35,3,2,0,0,N,0.23,12.79,2.71,-0.71,-0.71,0,MOL,-1.0,6,4,3,0,90.0429,NEUTRAL,C2H6N2O2,COC(=O)NN,CCOC(=O)NN
70,CHEMBL120433,DIMETHYLAMINE,Dimethyl-Amine|Dimethylamine|Dimethylammonium,Small molecule,0.0,45.09,9.0,10.0,-0.16,12.03,1,1,0,0,Y,0.40,None,10.52,-0.19,-3.07,0,MOL,-1.0,3,1,1,0,45.0578,BASE,C2H7N,CNC,CCNC
73,CHEMBL1231084,CHLOROACETONE,Chloromethylketone,Small molecule,0.0,92.53,2.0,3.0,0.81,17.07,1,0,0,1,Y,0.44,None,None,0.64,0.64,0,MOL,-1.0,5,1,0,0,92.0029,NEUTRAL,C3H5ClO,CC(=O)CCl,CCC(=O)CCl
74,CHEMBL1963385,,,Small molecule,0.0,99.1,,,-1.34,80.48,4,2,0,1,N,0.46,3.10,8.59,-3.12,-3.12,1,MOL,-1.0,7,5,3,0,99.0545,ZWITTERION,C2H5N5,NCc1nnn[nH]1,C(N)Cc1nnn[nH]1
75,CHEMBL3185965,,,Small molecule,0.0,88.07,,,-1.61,58.20,2,2,0,3,Y,0.25,10.82,None,-1.72,-1.72,0,MOL,-1.0,6,4,2,0,88.0273,NEUTRAL,C2H4N2O2,O=CNNC=O,O=C(C)NNC=O
77,CHEMBL352219,ISOBUTYRAMIDE,Isobutyramide,Small molecule,0.0,87.12,57.0,61.0,0.13,43.09,1,1,0,1,Y,0.48,None,None,0.21,0.21,0,MOL,-1.0,6,2,2,0,87.0684,NEUTRAL,C4H9NO,CC(C)C(N)=O,CCC(C)C(N)=O
78,CHEMBL15625,NITROETHANE,Nitro-Ethane|Nitroethane,Small molecule,0.0,75.07,3.0,6.0,0.28,43.14,2,0,0,1,Y,0.33,9.24,None,0.39,0.38,0,MOL,-1.0,5,3,0,0,75.032,NEUTRAL,C2H5NO2,CC[N+](=O)[O-],CCC[N+](=O)[O-]
79,CHEMBL3186475,,,Small molecule,0.0,90.12,,,-0.25,40.46,2,2,0,2,Y,0.49,None,None,-0.73,-0.73,0,MOL,-1.0,6,2,2,0,90.0681,NEUTRAL,C4H10O2,CC(O)CCO,CCC(O)CCO
80,CHEMBL4597323,,,,0.0,83.13,,,0.23,12.03,1,1,0,2,Y,0.37,None,9.30,0.39,-1.50,0,MOL,-1.0,6,1,1,0,83.0735,BASE,C5H9N,C#CCNCC,CC#CCNCC
81,CHEMBL1205969,,,Small molecule,0.0,90.08,,,-0.55,57.53,2,2,0,2,Y,0.48,4.20,None,-0.80,-3.84,0,MOL,-1.0,6,3,2,0,90.0317,ACID,C3H6O3,O=C(O)CCO,O=C(O)CC(O)C
83,CHEMBL3181969,,,Small molecule,0.0,81.12,,,1.48,23.79,1,0,0,1,Y,0.44,None,None,1.06,1.06,0,MOL,-1.0,6,1,0,0,81.0578,None,C5H7N,CC=CCC#N,CCC=CCC#N
84,CHEMBL3187813,,,Small molecule,0.0,98.14,,,1.11,20.23,1,1,0,2,Y,0.51,None,None,1.13,1.13,0,MOL,-1.0,7,1,1,0,98.0732,NEUTRAL,C6H10O,C/C=C/C=C/CO,CC/C=C/C=C/CO
86,CHEMBL3185216,,,Small molecule,0.0,90.08,,,0.40,35.53,3,0,0,0,Y,0.40,None,None,0.54,0.54,0,MOL,-1.0,6,3,0,0,90.0317,None,C3H6O3,COC(=O)OC,CCOC(=O)OC
87,CHEMBL1192210,,,Small molecule,0.0,69.11,,,-0.16,12.03,1,1,0,1,Y,0.42,None,9.24,0.04,-1.79,0,MOL,-1.0,5,1,1,0,69.0578,BASE,C4H7N,C#CCNC,CC#CCNC
88,CHEMBL1213179,,Allyl-O-Hydroxylamine,Small molecule,0.0,73.09,1.0,1.0,0.06,35.25,2,1,0,2,Y,0.37,None,4.43,0.37,0.37,0,MOL,-1.0,5,2,2,0,73.0528,NEUTRAL,C3H7NO,C=CCON,CC=CCON
90,CHEMBL115586,,2-Fluoro-Ethanol,Small molecule,0.0,64.06,1.0,2.0,-0.05,20.23,1,1,0,1,Y,0.45,None,None,-0.32,-0.32,0,MOL,-1.0,4,1,1,0,64.0324,NEUTRAL,C2H5FO,OCCF,C(O)CCF
91,CHEMBL9240,,N-Methyl-Formamide,Small molecule,0.0,59.07,74.0,115.0,-0.64,29.10,1,1,0,1,Y,0.40,None,None,-0.86,-0.86,0,MOL,-1.0,4,2,1,0,59.0371,NEUTRAL,C2H5NO,CNC=O,CCNC=O
92,CHEMBL118705,,Pyrrolidin-3-ol,Small molecule,0.0,87.12,1.0,1.0,-0.66,32.26,2,2,0,0,Y,0.41,None,10.60,-0.93,-3.86,0,MOL,-1.0,6,2,2,0,87.0684,BASE,C4H9NO,OC1CCNC1,C(O)C1CCNC1
93,CHEMBL2448941,,,Small molecule,0.0,84.12,1.0,1.0,0.07,27.03,2,0,0,1,Y,0.42,None,5.38,-0.27,-0.28,0,MOL,-1.0,6,2,0,0,84.0687,NEUTRAL,C4H8N2,CN(C)CC#N,CCN(C)CC#N
94,CHEMBL135416,PROPANE,E944|PROPANE,Small molecule,0.0,44.1,2.0,5.0,1.42,0.00,0,0,0,0,Y,0.39,None,None,1.80,1.80,0,MOL,0.0,3,0,0,0,44.0626,None,C3H8,CCC,CCCC
96,CHEMBL14227,BUTANOIC ACID,Butanoic acid,Small molecule,0.0,88.11,35.0,106.0,0.87,37.30,1,1,0,2,Y,0.54,4.91,None,0.92,-1.53,0,MOL,-1.0,6,2,1,0,88.0524,ACID,C4H8O2,CCCC(=O)O,CCCCC(=O)O
97,CHEMBL31747,,"Hexa-1,5-Diene",Small molecule,0.0,82.15,1.0,1.0,2.14,0.00,0,0,0,3,Y,0.36,None,None,2.52,2.52,0,MOL,-1.0,6,0,0,0,82.0783,None,C6H10,C=CCCC=C,CC=CCCC=C
98,CHEMBL1697703,ALLYL FORMATE,Allyl Formate,Small molecule,0.0,86.09,1.0,3.0,0.35,26.30,2,0,0,3,Y,0.28,None,None,0.61,0.61,0,MOL,-1.0,6,2,0,0,86.0368,None,C4H6O2,C=CCOC=O,CC=CCOC=O
100,CHEMBL295026,FORMIC ACID METHYL ESTER,Formic Acid Methyl Ester,Small molecule,0.0,60.05,3.0,5.0,-0.21,26.30,2,0,0,1,Y,0.39,None,None,-0.13,-0.13,0,MOL,-1.0,4,2,0,0,60.0211,None,C2H4O2,COC=O,CCOC=O
101,CHEMBL158626,,,Small molecule,0.0,99.14,4.0,5.0,-0.71,50.41,3,2,0,0,Y,0.42,None,12.23,-0.85,-3.26,0,MOL,-1.0,7,3,3,0,99.0796,BASE,C4H9N3,NC1=NCCCN1,C(N)C1=NCCCN1
102,CHEMBL446036,MALONALDEHYDE,Malondialdehyde,Small molecule,0.0,72.06,2.0,11.0,-0.23,34.14,2,0,0,2,Y,0.33,6.76,None,-0.65,-1.37,0,MOL,-1.0,5,2,0,0,72.0211,NEUTRAL,C3H4O2,O=CCC=O,O=C(C)CC=O
103,CHEMBL53493,2-methyl-(E)-2-butenal,,Small molecule,0.0,84.12,18.0,35.0,1.15,17.07,1,0,0,1,Y,0.34,None,None,1.16,1.16,0,MOL,-1.0,6,1,0,0,84.0575,NEUTRAL,C5H8O,C/C=C(\C)C=O,CC/C=C(\C)C=O
105,CHEMBL70445,,,Small molecule,0.0,88.15,1.0,1.0,-0.45,38.05,2,2,0,3,Y,0.46,None,10.14,-0.63,-3.43,0,MOL,-1.0,6,2,3,0,88.1,BASE,C4H12N2,CCNCCN,CCCNCCN
106,CHEMBL116455,THIOGLYCOLIC ACID,Mercaptoacetic Acid|NSC-1894|THIOGLYCOLIC ACID,Small molecule,0.0,92.12,58.0,60.0,0.00,37.30,2,2,0,1,Y,0.45,4.20,None,0.00,-3.03,0,MOL,0.0,5,2,1,0,91.9932,ACID,C2H4O2S,O=C(O)CS,O=C(O)C(S)C
107,CHEMBL324774,,2-Nitro-Ethanol,Small molecule,0.0,91.07,9.0,9.0,-0.74,63.37,3,1,0,2,N,0.36,9.42,None,-0.66,-0.67,0,MOL,-1.0,6,4,1,0,91.0269,NEUTRAL,C2H5NO3,O=[N+]([O-])CCO,O=[N+]([O-])CC(O)C
108,CHEMBL3901947,,,Small molecule,0.0,95.14,1.0,2.0,1.63,15.79,0,1,0,0,Y,0.50,None,None,1.45,1.45,1,MOL,-1.0,7,1,1,0,95.0735,NEUTRAL,C6H9N,Cc1ccc(C)[nH]1,CCc1ccc(C)[nH]1
109,CHEMBL1797287,,2-Methylbutane,Small molecule,0.0,72.15,1.0,1.0,2.05,0.00,0,0,0,1,Y,0.44,None,None,2.53,2.53,0,MOL,-1.0,5,0,0,0,72.0939,None,C5H12,CCC(C)C,CCCC(C)C
111,CHEMBL538,ANILINE,Aniline|Phenylamine|benzenaminium,Small molecule,0.0,93.13,17.0,57.0,1.27,26.02,1,1,0,0,Y,0.48,None,4.64,1.14,1.14,1,MOL,-1.0,7,1,2,0,93.0578,NEUTRAL,C6H7N,Nc1ccccc1,C(N)c1ccccc1
115,CHEMBL346997,,,Small molecule,0.0,92.57,2.0,2.0,2.02,0.00,0,0,0,0,Y,0.40,None,None,1.89,1.89,0,MOL,-1.0,5,0,0,0,92.0393,None,C4H9Cl,CC(C)(C)Cl,CCC(C)(C)Cl
117,CHEMBL2269088,CIS-2-PENTEN-1-OL,,Small molecule,0.0,86.13,6.0,6.0,0.94,20.23,1,1,0,2,Y,0.50,None,None,1.04,1.04,0,MOL,-1.0,6,1,1,0,86.0732,NEUTRAL,C5H10O,CC/C=C\CO,CCC/C=C\CO
118,CHEMBL1916078,THIAZOLIDINE,Thiazolidine,Small molecule,0.0,89.16,1.0,2.0,0.28,12.03,2,1,0,0,Y,0.46,None,8.60,0.07,-1.15,0,MOL,-1.0,5,1,1,0,89.0299,BASE,C3H7NS,C1CSCN1,CC1CSCN1
120,CHEMBL276521,TETRAHYDROFURAN,Tetrahydro-Furan,Small molecule,0.0,72.11,4.0,7.0,0.80,9.23,1,0,0,0,Y,0.41,None,None,0.53,0.53,0,MOL,-1.0,5,1,0,0,72.0575,NEUTRAL,C4H8O,C1CCOC1,CC1CCOC1
122,CHEMBL43280,METHYLAMINE,Methanaminium|Methylamine,Small molecule,0.0,31.06,4.0,6.0,-0.43,26.02,1,1,0,0,Y,0.38,None,10.08,-0.63,-3.15,0,MOL,-1.0,2,1,2,0,31.0422,BASE,CH5N,CN,CCN
124,CHEMBL330546,L-LACTIC ACID,L-Lactic Acid,Small molecule,0.0,90.08,4.0,5.0,-0.55,57.53,2,2,0,1,Y,0.45,3.78,None,-0.47,-3.74,0,MOL,-1.0,6,3,2,0,90.0317,ACID,C3H6O3,C[C@H](O)C(=O)O,CC[C@H](O)C(=O)O
125,CHEMBL122588,DEANOL,Deanol,Small molecule,0.0,89.14,2.0,2.0,-0.28,46.25,2,2,0,1,Y,0.46,None,10.04,-0.62,-3.11,0,MOL,-1.0,6,2,3,0,89.0841,BASE,C4H11NO,CC(C)(N)CO,CCC(C)(N)CO
126,CHEMBL15697,,1-Chloro-Propane|1-Chloropropane,Small molecule,0.0,78.54,1.0,2.0,1.64,0.00,0,0,0,1,Y,0.42,None,None,1.72,1.72,0,MOL,-1.0,4,0,0,0,78.0236,None,C3H7Cl,CCCCl,CCCCCl
129,CHEMBL4450925,,,,0.0,92.11,1.0,1.0,0.73,20.23,1,1,0,3,Y,0.51,None,None,0.26,0.26,0,MOL,-1.0,6,1,1,0,92.0637,NEUTRAL,C4H9FO,OCCCCF,C(O)CCCCF
130,CHEMBL1231501,"1,3-BUTANEDIOL",,Small molecule,0.0,90.12,1.0,2.0,-0.25,40.46,2,2,0,2,Y,0.49,None,None,-0.73,-0.73,0,MOL,-1.0,6,2,2,0,90.0681,NEUTRAL,C4H10O2,C[C@H](O)CCO,CC[C@H](O)CCO
133,CHEMBL183491,SODIUM FORMATE,E237,Small molecule,0.0,68.01,9.0,19.0,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1.0,None,None,None,None,67.9874,None,CHNaO2,O=C[O-].[Na+],O=C(C)[O-].[Na+]
135,CHEMBL441027,,1-Isocyanato-Propane,Small molecule,0.0,85.11,1.0,6.0,0.73,29.43,2,0,0,2,Y,0.36,None,None,0.84,0.84,0,MOL,-1.0,6,2,0,0,85.0528,NEUTRAL,C4H7NO,CCCN=C=O,CCCCN=C=O
136,CHEMBL59378,,,Small molecule,0.0,99.13,3.0,4.0,0.14,29.10,1,1,0,0,Y,0.46,None,None,-0.04,-0.04,0,MOL,-1.0,7,2,1,0,99.0684,NEUTRAL,C5H9NO,CC1CCNC1=O,CCC1CCNC1=O
138,CHEMBL233248,ALLYL ISOTHIOCYANATE,ALLYL ISOTHIOCYANATE|MUSTARD OIL,Small molecule,0.0,99.16,34.0,175.0,1.28,12.36,2,0,0,2,Y,0.29,None,0.65,1.80,1.80,0,MOL,0.0,6,1,0,0,99.0143,NEUTRAL,C4H5NS,C=CCN=C=S,CC=CCN=C=S
